Kinase,GeneName,Model,CV Mean R²,CV Std R²,Test R²,Test MSE
Q05655,PRKCD,PLS,-1.309489219044183,1.446205778702668,0.1743656263179359,0.8127803510364829
Q96RR4,CAMKK2,PLS,-0.7757529557377322,0.6262077043891339,0.1562290077972397,0.7075388334010555
Q05397,PTK2,Lasso,-0.0800069782991605,0.3523084619068569,0.1559047656752463,0.5059663428422477
Q16513,PKN2,MLP,-0.438006617972407,0.4876757649874151,0.151033611925467,2.7120150016707605
P49841,GSK3B,GradientBoosting,-5.972138732896452,9.131397852870338,0.1472550799866488,0.603755846012227
P31749,AKT1,RandomForest,-0.3247799139555785,0.4297635913201364,0.1469195849209487,1.976138039183101
Q14680,MELK,XGBoost,-0.9940167022337608,0.5955398577184674,0.1376074810710269,0.372500819131921
Q9Y2U5,MAP3K2,SVR,-0.8965497243603103,1.325927346727095,0.1333061287331814,1.8602955762028128
O76039,CDKL5,XGBoost,-1.4617110587438185,0.9495269250599148,0.1326062551706704,0.9607352342864756
Q13131,PRKAA1,Lasso,-0.2849732060236237,0.5952342681065381,0.1289654288693943,0.5142186229817728
Q16584,MAP3K11,SVR,-0.1897648782281255,0.5720711912228864,0.1285381471379223,0.1438200804021178
Q9Y3S1,WNK2,PLS,-1.2389864022796744e+29,2.4779728045593488e+29,0.1269892899515473,0.7083562140395199
P49759,CLK1,PLS,0.1711315142343688,0.1462134696437046,0.1259873182583858,0.5916904008323802
Q96S53,TESK2,MLP,-0.2490705170365501,0.2017374115119748,0.1169577958223913,0.2863366404242382
Q7KZI7,MARK2,GradientBoosting,-0.080042786975912,0.4771887354742724,0.1112913071355273,0.7135303035368161
O75385,ULK1,Lasso,-0.5662853413150777,0.6490069862814678,0.1093226047393095,0.1098215825340726
Q13153,PAK1,Lasso,-0.4303596863358034,0.6655844288653932,0.1078351261215337,1.9103678025005093
O43318,MAP3K7,SVR,-0.7480405752006765,0.5382230240923433,0.1017365875972208,0.5858152526492626
P78527,PRKDC,XGBoost,-0.366518056438487,0.5804522214230393,0.0995611470176306,0.5391392583698543
P30291,WEE1,SVR,-0.2008472397247279,0.1977910734505505,0.0909062843527208,0.8004373562266961
P27361,MAPK3,RandomForest,-0.1394922895633621,0.4700776381367165,0.0845528881636223,1.573745370997348
O43683,BUB1,MLP,-3.052682395723124,6.1304056922814425,0.0810064089326365,2.1238426096142944
O95835,LATS1,ElasticNet,-0.4445295290109662,0.4021231969128951,0.0770356617959573,0.5326688899061418
P04049,RAF1,Lasso,-0.4662687533216166,0.7601069187622608,0.0624790116089281,1.683259858962903
Q9HBH9,MKNK2,Lasso,0.0693830077043209,0.2661444965667183,0.0545163997197148,0.3076781678200109
Q16512,PKN1,RandomForest,-0.3195092386269828,0.5187908106671345,0.0544214531237595,0.576253720247692
O94806,PRKD3,MLP,-0.3439313240779912,0.3651353550723636,0.05317319585842,0.8377235191433285
Q13177,PAK2,XGBoost,-1.4370106960024995,1.9919381482027367,0.0480570794071686,0.5249609193705517
Q8IV63,VRK3,XGBoost,-3.578758904808457,4.5439607406977816,0.0450349031909854,2.2620491017135564
Q13627,DYRK1A,SVR,-0.1592119699039252,0.1568018240051132,0.0406095772265839,1.1739458863201744
P04626,ERBB2,Lasso,-0.1272409274303835,0.1961947246990839,0.0339503346744367,0.705756623666482
P51957,NEK4,ElasticNet,-1.2597648693047818,2.370043430903294,0.0262803672918765,0.1377564478057791
P10398,ARAF,RandomForest,-0.3585946326502366,0.4401514857181077,-0.0015386976754945,0.2058432988188389
Q92630,DYRK2,MLP,-0.3559058259292973,0.3447975006177077,-0.0088448745698157,0.8498583593165862
P49761,CLK3,Lasso,0.0848783374966228,0.1677447159918928,-0.0106436480275518,0.7401335197984151
Q96Q15,SMG1,MLP,-0.690644645512279,0.9902875522752222,-0.013997817550702,0.2057232876606559
Q99640,PKMYT1,Lasso,-0.2256768220725797,0.1411162208379788,-0.0208146667972664,0.5425730374072718
O15075,DCLK1,Lasso,-0.0514152917951713,0.0550165038342742,-0.0422510335880867,0.2226210240501872
O95819,MAP4K4,Lasso,-0.485641339004793,0.4817351909980696,-0.0491117920291734,0.4059673759585847
P06493,CDK1,MLP,-0.4969928072384603,0.6771123704825136,-0.0551135539152929,2.037997440393465
Q00537,CDK17,Lasso,-0.1097756698335088,0.3508716155443788,-0.0631399645555226,1.9770324000651112
Q13043,STK4,Lasso,-0.6318307838885994,0.3988827841071387,-0.0646357429456301,0.6636111583399165
Q2M2I8,AAK1,Lasso,0.1090480117076913,0.1673913950557425,-0.1034741996746817,0.2615528545971058
Q07002,CDK18,GradientBoosting,-0.8250563959427577,0.8313457375148646,-0.1180651368037848,1.9501524904605787
Q00536,CDK16,MLP,-0.8543470826520035,1.6806642688167115,-0.1181251904375102,1.7125945013148107
Q13233,MAP3K1,SVR,-0.5324689633360669,0.3608706885808247,-0.1451690584064884,1.1657147946826476
Q99759,MAP3K3,MLP,-0.2897536505217178,0.2674883566088796,-0.1682976381135514,2.527427838096373
P42345,MTOR,SVR,-0.5274546682274999,0.4977344618675218,-0.1881008147822547,3.032692162029089
Q9NSY1,BMP2K,Lasso,-0.007895878877869,0.1059502637840963,-0.2150873558070372,0.2880081533305211
Q13555,CAMK2G,Lasso,0.0391867454377974,0.1788380060405583,-0.3416292999450099,0.4248544106945432
O75676,RPS6KA4,SVR,-0.8205215708925057,1.164729262040284,-0.3793473028328578,0.4991420656435624
P15056,BRAF,RandomForest,-2.132140037825104,3.908434316734136,-0.3801391093405246,3.0597427074310075
Q13263,TRIM28,ElasticNet,-0.1444067685624986,0.678721353315839,-0.4636723937066311,0.0882591147012982
Q8IVT5,KSR1,SVR,-0.6239623118895066,0.4892413836585793,-0.7479008546808563,3.440355919566015
