UniprotID,GeneName,Perturbation,CellLine,KSEA_z_score
O14757,CHEK1,AZD8055,HL60,-0.7163043994668893
O14757,CHEK1,GDC0994,HL60,1.797160140658114
O14757,CHEK1,JNK,HL60,-0.6181529013624464
O14757,CHEK1,LY2584702,HL60,1.2660736020985428
O14757,CHEK1,PH797804,HL60,-0.6599133287314903
O14757,CHEK1,Selumetinib,HL60,0.2797059642662642
O14757,CHEK1,U73122,HL60,0.8381981014159168
O14757,CHEK1,Ulixertinib,HL60,-0.4539230182796675
O14757,CHEK1,Amuvatinib,HL60,-0.5837644336344611
O14757,CHEK1,AZD3759,HL60,-0.9520834884495198
O14757,CHEK1,GSK690693,HL60,-1.999789674998249
O14757,CHEK1,JNJ,HL60,-1.2842062579514186
O14757,CHEK1,KN62,HL60,-0.9166423447079618
O14757,CHEK1,Linsitinib,HL60,-1.353232557890971
O14757,CHEK1,LY2835219,HL60,-1.2915379341086906
O14757,CHEK1,Ribociclib,HL60,-1.135926911895075
O14757,CHEK1,AC220,HL60,1.1712039397999991
O14757,CHEK1,Edelfosine,HL60,2.058953665096414
O14757,CHEK1,GF109203X,HL60,3.2117684548277743
O14757,CHEK1,Go6976,HL60,0.9560581637414467
O14757,CHEK1,PF4708671,HL60,0.6219534098956621
O14757,CHEK1,SP600125,HL60,0.6040986564973326
O14757,CHEK1,TAK715,HL60,1.734547815237002
O14757,CHEK1,TBCA,HL60,2.2007672678130845
O14757,CHEK1,AT13148,HL60,-0.04226627916060147
O14757,CHEK1,AZ20,HL60,0.6382517817352027
O14757,CHEK1,AZD6738,HL60,0.02592539053643069
O14757,CHEK1,Bosutinib,HL60,-0.34249271698399497
O14757,CHEK1,Dabrafenib,HL60,-0.22141065821471237
O14757,CHEK1,Dasatinib,HL60,-0.8120155394507554
O14757,CHEK1,DNAPK,HL60,1.1327745642887053
O14757,CHEK1,H89,HL60,1.8229785708993507
O14757,CHEK1,KD025,HL60,0.7350003984416072
O14757,CHEK1,NU7441,HL60,0.0006229685748593592
O14757,CHEK1,Ripasudil,HL60,0.2856577112717892
O14757,CHEK1,Vemurafenib,HL60,-1.037156003033747
O14757,CHEK1,CX4945,HL60,0.048100996923991786
O14757,CHEK1,GO6983,HL60,2.237786917214984
O14757,CHEK1,KN93,HL60,2.7301489757023583
O14757,CHEK1,MK2206,HL60,0.42038749172595075
P06493,CDK1,AZD5438,HL60,-2.4161774598663457
P06493,CDK1,FRAX486,HL60,1.1940991135292913
P06493,CDK1,Ku0063794,HL60,0.7153197512883663
P06493,CDK1,PD153035,HL60,0.5973498038886801
P06493,CDK1,PF3758309,HL60,1.7913063268576306
P06493,CDK1,Torin,HL60,1.0824214911294827
P06493,CDK1,Trametinib,HL60,2.703242914299979
P06493,CDK1,AZD1480,HL60,0.6892844312247748
P06493,CDK1,AZD5363,HL60,1.433370401286134
P06493,CDK1,BX912,HL60,0.010443640051102829
P06493,CDK1,CHIR99021,HL60,0.8054206637287241
P06493,CDK1,GSK2334470,HL60,0.5264140727499517
P06493,CDK1,Ipatasertib,HL60,0.9765029484397336
P06493,CDK1,LY2090314,HL60,1.6499856313790586
P06493,CDK1,Tofacitinib,HL60,1.1552086214439075
P06493,CDK1,AZD6482,HL60,-1.5778323650024284
