UniprotID,GeneName,Perturbation,CellLine,KSEA_z_score
P24941,CDK2,Dabrafenib,MCF7,0.3859459625168456
P24941,CDK2,Dasatinib,MCF7,1.5531337772665332
P24941,CDK2,DNAPK,MCF7,-0.4808254825980848
P24941,CDK2,H89,MCF7,0.6001062199971691
P24941,CDK2,KD025,MCF7,-2.009467467166551
P24941,CDK2,NU7441,MCF7,-0.3027640527747624
P24941,CDK2,Ripasudil,MCF7,0.49610886916685554
P24941,CDK2,Vemurafenib,MCF7,0.8116987896558167
P24941,CDK2,CX4945,MCF7,2.2212511565320905
P24941,CDK2,GO6983,MCF7,2.5081772457501534
P24941,CDK2,KN93,MCF7,1.9273012108648189
P24941,CDK2,MK2206,MCF7,0.575507468743722
O14757,CHEK1,AZD6482,MCF7,-2.0738361850677074
O14757,CHEK1,CAL101,MCF7,-0.7088049791339855
O14757,CHEK1,GDC0941,MCF7,-0.7844140369237891
O14757,CHEK1,HS173,MCF7,-2.3599580036870034
O14757,CHEK1,PIK294,MCF7,-0.7224802956680957
O14757,CHEK1,TGX221,MCF7,-0.2648072228313344
O14757,CHEK1,AZD5438,MCF7,0.7050386002157462
O14757,CHEK1,FRAX486,MCF7,-1.783775328650019
O14757,CHEK1,Ku0063794,MCF7,-0.5466064135395602
O14757,CHEK1,PD153035,MCF7,-0.4967778613650846
O14757,CHEK1,PF3758309,MCF7,-1.4620183427752473
O14757,CHEK1,Torin,MCF7,-1.6436710093015825
O14757,CHEK1,Trametinib,MCF7,-0.9694470245627321
O14757,CHEK1,AZD1480,MCF7,0.2966847361397622
O14757,CHEK1,AZD5363,MCF7,-1.2754330095839697
O14757,CHEK1,BX912,MCF7,-0.764903895666171
O14757,CHEK1,CHIR99021,MCF7,-0.8562503983390275
O14757,CHEK1,GSK2334470,MCF7,0.06386651279044206
O14757,CHEK1,Ipatasertib,MCF7,1.0327913779730655
O14757,CHEK1,LY2090314,MCF7,-2.51737991839979
O14757,CHEK1,Tofacitinib,MCF7,-1.1327635931711182
O14757,CHEK1,AZD8055,MCF7,-0.6282214778808708
O14757,CHEK1,GDC0994,MCF7,-0.7066032465611248
O14757,CHEK1,JNK,MCF7,-0.017892640371331515
O14757,CHEK1,LY2584702,MCF7,-0.9907120022009671
O14757,CHEK1,PH797804,MCF7,-1.0141171623265328
O14757,CHEK1,Selumetinib,MCF7,0.06515357105227139
O14757,CHEK1,U73122,MCF7,-0.30490887271069916
O14757,CHEK1,Ulixertinib,MCF7,-0.4504682947733323
O14757,CHEK1,Amuvatinib,MCF7,-0.14537828329146593
O14757,CHEK1,AZD3759,MCF7,-0.11867333960526402
O14757,CHEK1,GSK690693,MCF7,0.19307893292236755
O14757,CHEK1,JNJ,MCF7,-0.3184388679147442
O14757,CHEK1,KN62,MCF7,-0.1523498813550449
O14757,CHEK1,Linsitinib,MCF7,1.1653110471518948
O14757,CHEK1,LY2835219,MCF7,0.23216650695832214
O14757,CHEK1,Ribociclib,MCF7,0.5881024295439962
O14757,CHEK1,AC220,MCF7,0.8120598365095881
O14757,CHEK1,Edelfosine,MCF7,-0.01636213704572148
O14757,CHEK1,GF109203X,MCF7,0.9375920248364568
O14757,CHEK1,Go6976,MCF7,-0.707490239797496
O14757,CHEK1,PF4708671,MCF7,1.8284451300965705
O14757,CHEK1,SP600125,MCF7,-0.0731620101856321
O14757,CHEK1,TAK715,MCF7,1.1974493506771255
O14757,CHEK1,TBCA,MCF7,-1.275793735843772
O14757,CHEK1,AT13148,MCF7,-1.3024558436751168
O14757,CHEK1,AZ20,MCF7,-0.13495936141051046
O14757,CHEK1,AZD6738,MCF7,1.078627414320271
O14757,CHEK1,Bosutinib,MCF7,-0.01266224938759369
O14757,CHEK1,Dabrafenib,MCF7,0.48522307527008446
O14757,CHEK1,Dasatinib,MCF7,0.33401159358336696
O14757,CHEK1,DNAPK,MCF7,-0.8071573246500262
O14757,CHEK1,H89,MCF7,0.6101934832749539
O14757,CHEK1,KD025,MCF7,-0.510612034804974
O14757,CHEK1,NU7441,MCF7,-0.07442421985200025
O14757,CHEK1,Ripasudil,MCF7,-0.6538104752413553
O14757,CHEK1,Vemurafenib,MCF7,0.7904418172837573
O14757,CHEK1,CX4945,MCF7,-0.010556000122644897
O14757,CHEK1,GO6983,MCF7,0.749484772041784
O14757,CHEK1,KN93,MCF7,-0.33705473156939414
O14757,CHEK1,MK2206,MCF7,-0.11098123688705966
P06493,CDK1,AZD6482,MCF7,-0.41616617202295475
P06493,CDK1,CAL101,MCF7,0.46835847149356935
P06493,CDK1,GDC0941,MCF7,1.1333176200060375
P06493,CDK1,HS173,MCF7,1.8187086230267404
P06493,CDK1,PIK294,MCF7,0.738540636653963
P06493,CDK1,TGX221,MCF7,1.2740875623577557
P06493,CDK1,AZD5438,MCF7,-5.006219155813897
P06493,CDK1,FRAX486,MCF7,1.0947083377059437
P06493,CDK1,Ku0063794,MCF7,0.901502670944943
P06493,CDK1,PD153035,MCF7,1.3838291720097464
P06493,CDK1,PF3758309,MCF7,1.3753484118211188
P06493,CDK1,Torin,MCF7,2.0993525875517522
P06493,CDK1,Trametinib,MCF7,1.1309202785385108
P06493,CDK1,AZD1480,MCF7,1.4239704999893823
P06493,CDK1,AZD5363,MCF7,1.7598994184223533
P06493,CDK1,BX912,MCF7,-0.6908247053395454
P06493,CDK1,CHIR99021,MCF7,0.8784897598909331
P06493,CDK1,GSK2334470,MCF7,1.851619110024052
P06493,CDK1,Ipatasertib,MCF7,0.4999018721490781
P06493,CDK1,LY2090314,MCF7,0.6848928923968672
P06493,CDK1,Tofacitinib,MCF7,1.0722074811307079
P06493,CDK1,AZD8055,MCF7,3.287270936532945
P06493,CDK1,GDC0994,MCF7,0.4984817076591432
P06493,CDK1,JNK,MCF7,1.6542254212094822
P06493,CDK1,LY2584702,MCF7,3.259705978054223
P06493,CDK1,PH797804,MCF7,1.4972889932246027
P06493,CDK1,Selumetinib,MCF7,1.7916240035826343
P06493,CDK1,U73122,MCF7,2.80969145009918
P06493,CDK1,Ulixertinib,MCF7,-0.0640975064517741
P06493,CDK1,Amuvatinib,MCF7,0.2923828983804305
P06493,CDK1,AZD3759,MCF7,-0.3497250952967194
P06493,CDK1,GSK690693,MCF7,1.6086786121668848
P06493,CDK1,JNJ,MCF7,0.553091125994221
P06493,CDK1,KN62,MCF7,0.1830446155293064
P06493,CDK1,Linsitinib,MCF7,-1.325636090741974
